playerID,playerName,teamID,teamName,startYear,endYear,position
72,Kenley Jansen,ATL,Atlanta Braves,2022,2022,RP
72,Kenley Jansen,BOS,Boston Red Sox,2023,Present,RP
73,Edwin Diaz,SEA,Seattle Mariners,2016,2018,RP
73,Edwin Diaz,NYM,New York Mets,2019,Present,RP
74,Mitch Haniger,ARI,Arizona Diamondbacks,2016,2016,OF
74,Mitch Haniger,SEA,Seattle Mariners,2017,2022,OF
74,Mitch Haniger,SFG,San Francisco Giants,2023,2023,OF
74,Mitch Haniger,SEA,Seattle Mariners,2024,Present,OF
75,Raisel Iglesias,CIN,Cincinnati Reds,2015,2020,RP
75,Raisel Iglesias,LAA,Los Angeles Angels,2021,2022,RP
75,Raisel Iglesias,ATL,Atlanta Braves,2023,Present,RP
76,Cody Bellinger,LAD,Los Angeles Dodgers,2017,2022,1B/OF
76,Cody Bellinger,CHC,Chicago Cubs,2023,Present,1B/OF
77,Ketel Marte,SEA,Seattle Mariners,2015,2016,SS
77,Ketel Marte,ARI,Arizona Diamondbacks,2017,Present,2B/SS/OF
78,Brent Rooker,MIN,Minnesota Twins,2020,2021,OF
78,Brent Rooker,SDP,San Diego Padres,2022,2022,OF
78,Brent Rooker,KCR,Kansas City Royals,2022,2022,OF
78,Brent Rooker,OAK,Oakland Athletics,2023,Present,OF/DH
79,Willy Adames,TBR,Tampa Bay Rays,2018,2021,SS
79,Willy Adames,MIL,Milwaukee Brewers,2021,Present,SS
80,Alex Bregman,HOU,Houston Astros,2016,Present,3B
